White, 255, 255, 255, 254, 254, 254
Blue, 215, 95, 101, 75, 119, 175
Red, 255, 95, 101, 241, 95, 114
Green, 212, 106, 86, 78, 145, 118
Orange, 255, 130, 120, 253, 214, 115
Yellow, 225, 171, 129, 248, 255, 147
Purple, 233, 125, 159, 153, 124, 190
