white, 1.15, .43, .53, 1, 1, 1
blue, .97, .16, .24, .84, .37, 4
red, 1.15, .2, .24, 1, .47, .45
green, .96, .18, .18, .83, .42, .34
orange, 1.15, .22, .25, 1, .51, .47
yellow, 1.15, .29, .27, 1, .67, .31
purple, 1.15, .21, .33, 1, .49, .62
